year,country,broadcaster,artist,song,language,songwriter_s,conductor
1981,Austria,ORF,Marty Brem,Wenn du da bist,German,Werner Böhmler,Richard Oesterreicher
1981,Belgium,BRT,Emly Starr,Samson,Dutch,Kick Dandy Penny ElsGiuseppe Marchese,Giuseppe Marchese
1981,Cyprus,CyBC,Island,"Monika"" (Μόνικα)",Greek,Doros Georgiades Stavros Sideras,Michalis Rozakis
1981,Denmark,DR,Tommy Seebach and Debbie Cameron,Krøller eller ej,Danish,Keld HeickTommy Seebach,Allan Botschinsky
1981,Finland,YLE,Riki Sorsa,Reggae O.K.,Finnish,Olli OjalaJim Pembroke,Henrik Otto Donner
1981,France,TF1,Jean Gabilou,Humanahum,French,Jean-Paul CaraJoe Gracy,David Sprinfield
1981,Germany,BR,Lena Valaitis,Johnny Blue,German,Bernd MeinungerRalph Siegel,Wolfgang Rödelberger
1981,Greece,ERT,Yiannis Dimitras,"Feggari kalokerino"" (Φεγγάρι καλοκαιρινό)",Greek,Yiannis DimitrasGiorgos Niarchos,Giorgos Niarchos
1981,Ireland,RTÉ,Sheeba,Horoscopes,English,Joe BurkettJim Kelly,Noel Kelehan
1981,Israel,IBA,Habibi,"Halayla"" (הלילה)",Hebrew,Shlomit AharonYuval DorShuki Levy,Eldad Shrem
1981,Luxembourg,CLT,Jean-Claude Pascal,C'est peut-être pas l'Amérique,French,Sophie Makhno Jean-Claude PetitJean-Claude Villemino,Joël Rocher
1981,Netherlands,NOS,Linda Williams,Het is een wonder,Dutch,Bart van de Laar Cees de Wit,Rogier van Otterloo
1981,Norway,NRK,Finn Kalvik,Aldri i livet,Norwegian,Finn Kalvik,Sigurd Jansen
1981,Portugal,RTP,Carlos Paião,Playback,Portuguese,Carlos Paião,Shegundo Galarza
1981,Spain,TVE,Bacchelli,Y sólo tú,Spanish,Amado Jaén,Joan Barcons
1981,Sweden,SVT,Björn Skifs,Fångad i en dröm,Swedish,Bengt Palmers Björn Skifs,Anders Berglund
1981,Switzerland,SRG SSR,"Peter, Sue and Marc",Io senza te,Italian,Nella MartinettiPeter Reber,Rolf Zuckowski
1981,Turkey,TRT,Modern Folk Trio and Ayşegül,Dönme Dolap,Turkish,Ali Kocatepe,Onno Tunç
1981,United Kingdom,BBC,Bucks Fizz,Making Your Mind Up,English,John DanterAndy Hill,John Coleman
1981,Yugoslavia,JRT,Seid Memić Vajta,"Lejla"" (Лејла)",Serbo-Croatian,Ranko Boban,Ranko Rihtman
1982,Austria,ORF,Mess,Sonntag,German,Rudolf LeveMichael Scheickl,Richard Oesterreicher
1982,Belgium,RTBF,Stella,Si tu aimes ma musique,French,Fred Bekky BobottRony Brack,Jack Say
1982,Cyprus,CyBC,Anna Vissi,"Mono i agapi"" (Μόνο η αγάπη)",Greek,Anna Vissi,Martyn Ford
1982,Denmark,DR,Brixx,Video-Video,Danish,Jens Brixtofte,Allan Botschinsky
1982,Finland,YLE,Kojo,Nuku pommiin,Finnish,Juice LeskinenJim Pembroke,Ossi Runne
1982,Germany,BR,Nicole,Ein bißchen Frieden,German,Bernd MeinungerRalph Siegel,Norbert Daum
1982,Ireland,RTÉ,The Duskeys,"Here Today, Gone Tomorrow",English,Sally Keating,Noel Kelehan
1982,Israel,IBA,Avi Toledano,"Hora"" (הורה)",Hebrew,Yoram TaharlevAvi Toledano,Silvio Nanssi Brandes
1982,Luxembourg,CLT,Svetlana,Cours après le temps,French,Cyril Assous Michel Jouveaux,Jean Claudric
1982,Netherlands,NOS,Bill van Dijk,Jij en ik,Dutch,Dick BakkerLiselore Gerritsen,Rogier van Otterloo
1982,Norway,NRK,Jahn Teigen and Anita Skorgan,Adieu,Norwegian,Herodes FalskJahn Teigen,Sigurd Jansen
1982,Portugal,RTP,Doce,Bem bom,Portuguese,Pedro BritoTozé Brito António Avelar de Pinho,Luis Duarte
1982,Spain,TVE,Lucía,Él,Spanish,Paco CeperoIgnacio Román,Miguel Ángel Varona
1982,Sweden,SVT,Chips,Dag efter dag,Swedish,Monica ForsbergLasse Holm,Anders Berglund
1982,Switzerland,SRG SSR,Arlette Zola,Amour on t'aime,French,Pierre AlainAlain Morisod,Joan Amils
1982,Turkey,TRT,Neco,Hani?,Turkish,Faik TuğsuzOlcayto Ahmet Tuğsuz,Garo Mafyan
1982,United Kingdom,BBC,Bardo,One Step Further,English,Simon Jefferies,Ronnie Hazlehurst
1982,Yugoslavia,JRT,Aska,"Halo, halo"" (Хало, хало)",Serbo-Croatian,Aleksandar IlićMiroslav Popović,Zvonimir Skerl
1983,Austria,ORF,Westend,Hurricane,German,".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li{display:none}.mw-parser-output .hlist dt::after{content:"": ""}.mw-parser-output .hlist dd::after,.mw-parser-output .hlist li::after{content:""\a0 · "";font-weight:bold}.mw-parser-output .hlist dd:last-child::after,.mw-parser-output .hlist dt:last-child::after,.mw-parser-output .hlist li:last-child::after{content:none}.mw-parser-output .hlist dd dd:first-child::before,.mw-parser-output .hlist dd dt:first-child::before,.mw-parser-output .hlist dd li:first-child::before,.mw-parser-output .hlist dt dd:first-child::before,.mw-parser-output .hlist dt dt:first-child::before,.mw-parser-output .hlist dt li:first-child::before,.mw-parser-output .hlist li dd:first-child::before,.mw-parser-output .hlist li dt:first-child::before,.mw-parser-output .hlist li li:first-child::before{content:"" ("";font-weight:normal}.mw-parser-output .hlist dd dd:last-child::after,.mw-parser-output .hlist dd dt:last-child::after,.mw-parser-output .hlist dd li:last-child::after,.mw-parser-output .hlist dt dd:last-child::after,.mw-parser-output .hlist dt dt:last-child::after,.mw-parser-output .hlist dt li:last-child::after,.mw-parser-output .hlist li dd:last-child::after,.mw-parser-output .hlist li dt:last-child::after,.mw-parser-output .hlist li li:last-child::after{content:"")"";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li::before{content:"" ""counter(listitem)""\a0 ""}.mw-parser-output .hlist dd ol>li:first-child::before,.mw-parser-output .hlist dt ol>li:first-child::before,.mw-parser-output .hlist li ol>li:first-child::before{content:"" (""counter(listitem)""\a0 ""}Heli Deinboek Heinz Nessizius Peter Vieweger",Richard Oesterreicher
1983,Belgium,BRT,Pas de Deux,Rendez-vous,Dutch,Paul PeyskensWalter Verdin,Freddy Sunder
1983,Cyprus,CyBC,Stavros and Constantina,"I agapi akoma zi"" (Η αγάπη ακόμα ζει)",Greek,Stavros Sideras,Michalis Rozakis
1983,Denmark,DR,Gry Johansen,Kloden drejer,Danish,Lars ChristensenFlemming GernyxChristian Jacobsen,Allan Botschinsky
1983,Finland,YLE,Ami Aspelund,Fantasiaa,Finnish,Kari Kuusamo Kaisu Liuhala,Ossi Runne
1983,France,Antenne 2,Guy Bonnet,Vivre,French,Guy BonnetFulbert Cant,François Rauber
1983,Germany,BR,Hoffmann and Hoffmann,Rücksicht,German,Volker LechtenbrinkMichael Reinecke,Dieter Reith
1983,Greece,ERT,Christie,"Mou les"" (Μου λες)",Greek,Sophia FildissiAntonis Plessas,Mimis Plessas
1983,Israel,IBA,Ofra Haza,"Chai"" (חי)",Hebrew,Ehud ManorAvi Toledano,Silvio Nanssi Brandes
1983,Italy,RAI,Riccardo Fogli,Per Lucia,Italian,Maurizio FabrizioRiccardo FogliVincenzo Spampinato,Maurizio Fabrizio
1983,Luxembourg,CLT,Corinne Hermès,Si la vie est cadeau,French,Alain GarciaJean-Pierre Millers,Michel Bernholc
1983,Netherlands,NOS,Bernadette,Sing Me a Song,Dutch,Martin Duiser Piet Souer,Piet Souer
1983,Norway,NRK,Jahn Teigen,Do Re Mi,Norwegian,Herodes FalskAnita SkorganJahn Teigen,Sigurd Jansen
1983,Portugal,RTP,Armando Gama,Esta balada que te dou,Portuguese,Armando Gama,Mike Sergeant
1983,Spain,TVE,Remedios Amaya,Quién maneja mi barca,Spanish,José Miguel ÉvorasIsidro Muñoz,José Miguel Évoras
1983,Sweden,SVT,Carola Häggkvist,Främling,Swedish,Monica ForsbergLasse Holm,Anders Ekdahl
1983,Switzerland,SRG SSR,Mariella Farré,Io così non ci sto,Italian,Thomas GonzenbachRemo KesslerNella Martinetti,Robert Weber
1983,Turkey,TRT,Çetin Alp and the Short Wave,Opera,Turkish,Aysel GürelBuğra Uğur,Buğra Uğur
1983,United Kingdom,BBC,Sweet Dreams,I'm Never Giving Up,English,Jan PulsfordRon RokerPhil Wigger,John Coleman
1983,Yugoslavia,JRT,Daniel,"Džuli"" (Џули)",Serbo-Croatian,Mario MihaljevićDanijel Popović,Radovan Papović
1984,Austria,ORF,Anita,Einfach weg,German,Walter MüllerBrigitte Seuberth,Richard Oesterreicher
1984,Belgium,RTBF,Jacques Zegers,Avantila vie,French,Henri SerokaJacques Zegers,Jo Carlier
1984,Cyprus,CyBC,Andy Paul,"Anna Mari-Elena"" (Άννα Μαρί-Έλενα)",Greek,Andy Paul,Pierre Cao
1984,Denmark,DR,Hot Eyes,Det' lige det,Danish,Søren BundgaardKeld Heick,Henrik Krogsgaard
1984,Finland,YLE,Kirka,Hengaillaan,Finnish,Jukka Siikavire Jussi Tuominen,Ossi Runne
1984,France,Antenne 2,Annick Thoumazeau,Autant d'amoureux que d'étoiles,French,Vladimir CosmaCharles Level,François Rauber
1984,Germany,BR,Mary Roos,Aufrecht geh'n,German,Michael KunzeMichael Reinecke,Pierre Cao
1984,Ireland,RTÉ,Linda Martin,Terminal 3,English,Johnny Logan,Noel Kelehan
1984,Italy,RAI,Alice and Franco Battiato,I treni di Tozeur,Italian,Franco BattiatoRosario Cosentino Giusto Pio,Giusto Pio
1984,Luxembourg,CLT,Sophie Carle,100% d'amour,French,Jean-Michel Bériat Jean-Pierre Goussaud Patrick Jaymes,Pascal Stive
1984,Netherlands,NOS,Maribelle,Ik hou van jou,Dutch,Peter van Asten Richard de Bois,Rogier van Otterloo
1984,Norway,NRK,Dollie de Luxe,Lenge leve livet,Norwegian,Benedicte AdrianIngrid Bjørnov,Sigurd Jansen
1984,Portugal,RTP,Maria Guinot,Silêncio e tanta gente,Portuguese,Maria Guinot,Pedro Osório
1984,Spain,TVE,Bravo,"Lady, Lady",Spanish,Miguel BlascoAmaya Saizar,Eddy Guerin
1984,Sweden,SVT,Herreys,Diggi-Loo Diggi-Ley,Swedish,Britt LindeborgTorgny Söderberg,Curt-Eric Holmquist
1984,Switzerland,SRG SSR,Rainy Day [de; fr],Welche Farbe hat der Sonnenschein,German,Günter Loose,Mario Robbiani
1984,Turkey,TRT,"Beş Yıl Önce, On Yıl Sonra",Halay,Turkish,Ülkü Aker Selçuk Başar,Selçuk Başar
1984,United Kingdom,BBC,Belle and the Devotions,Love Games,English,Paul CurtisGraham Sacher,John Coleman
1984,Yugoslavia,JRT,Ida and Vlado,"Ciao, amore",Serbo-Croatian,Slobodan BučevacMilan Perić,Mato Došen
1985,Austria,ORF,Gary Lux,Kinder dieser Welt,German,Geoff BastowMick JacksonMichael Kunze,Richard Oesterreicher
1985,Belgium,BRT,Linda Lepomme,Laat me nu gaan,Dutch,Pieter Verlinden Bert Vivier,Curt-Eric Holmquist
1985,Cyprus,CyBC,Lia Vissi,"To katalava arga"" (Το κατάλαβα αργά)",Greek,Lia Vissi,Haris Andreadis
1985,Denmark,DR,Hot Eyes,Sku' du spørg' fra no'en,Danish,Søren BundgaardKeld Heick,Wolfgang Käfer
1985,Finland,YLE,Sonja Lumme,Eläköön elämä,Finnish,Petri Laaksonen Veli-Pekka Lehto,Ossi Runne
1985,France,Antenne 2,Roger Bens,Femme dans ses rêves aussi,French,Didier Pascalis,Michel Bernholc
1985,Germany,BR,Wind,Für alle,German,Hanne Haller,Rainer Pietsch
1985,Greece,ERT,Takis Biniaris,"Miazoume"" (Μοιάζουμε)",Greek,Takis BiniarisMaro Bizani,Haris Andreadis
1985,Ireland,RTÉ,Maria Christian,Wait Until the Weekend Comes,English,Brendan Graham,Noel Kelehan
1985,Israel,IBA,Izhar Cohen,"Olé, Olé"" (עולה, עולה)",Hebrew,Hamutal Ben Ze'ev Kobi Oshrat,Kobi Oshrat
1985,Italy,RAI,Al Bano and Romina Power,"Magic, Oh Magic",Italian,Dario Farina Michael HofmannCristiano Minellono,Fiorenzo Zanotti
1985,Luxembourg,CLT,"Margo , Franck Olivier , Chris Roberts, Malcolm Roberts, Ireen Sheer and Diane Solomon","Children, Kinder, Enfants",French,Jean-Michel Bériat Bernd MeinungerRalph Siegel,Norbert Daum
1985,Norway,NRK,Bobbysocks,La det swinge,Norwegian,Rolf Løvland,Terje Fjærn
1985,Portugal,RTP,Adelaide,"Penso em ti, eu sei",Portuguese,Tozé Brito Luís FernandoAdelaide Ferreira,José Calvário
1985,Spain,TVE,Paloma San Basilio,La fiesta terminó,Spanish,Juan Carlos Calderón,Juan Carlos Calderón
1985,Sweden,SVT,Kikki Danielsson,Bra vibrationer,Swedish,Ingela ForsmanLasse Holm,Curt-Eric Holmquist
1985,Switzerland,SRG SSR,Mariella Farré and Pino Gasparini,"Piano, piano",German,Anita KerrTrudi Müller-Bosshard,Anita Kerr
1985,Turkey,TRT,MFÖ,Didai didai dai,Turkish,Mazhar AlansonFuat GünerÖzkan Uğur,Garo Mafyan
1985,United Kingdom,BBC,Vikki,Love Is,English,James KalethVikki Watson,John Coleman
1986,Austria,ORF,Timna Brauer,Die Zeit ist einsam,German,Peter CorneliusPeter Janda,Richard Oesterreicher
1986,Belgium,RTBF,Sandra Kim,J'aime la vie,French,Angelo CrisciJean-Pierre FurnémontRosario Marino,Jo Carlier
1986,Cyprus,CyBC,Elpida,"Tora zo"" (Τώρα ζω)",Greek,Phivos GavrisPeter Yiannaki,Martyn Ford
1986,Denmark,DR,Lise Haavik,Du er fuld af løgn,Danish,John Hatting,Egil Monn-Iversen
1986,Finland,YLE,Kari,Never the End,Finnish,Kari Kuivalainen,Ossi Runne
1986,France,Antenne 2,Cocktail Chic,Européennes,French,Georges CostaMichel Costa,Jean-Claude Petit
1986,Germany,BR,Ingrid Peters,Über die Brücke geh'n,German,Hans Blum,Hans Blum
1986,Iceland,RÚV,ICY,Gleðibankinn,Icelandic,Magnús Eiríksson,Gunnar Þórðarson
1986,Ireland,RTÉ,Luv Bug,You Can Count On Me,English,Kevin Sheerin,Noel Kelehan
1986,Israel,IBA,Moti Giladi and Sarai Tzuriel,"Yavo Yom"" (יבוא יום)",Hebrew,Moti GiladiYoram Tzadok,Yoram Tzadok
1986,Luxembourg,CLT,Sherisse Laurence,L'Amour de ma vie,French,Frank DostalAlain GarciaRolf Soja,Rolf Soja
1986,Netherlands,NOS,Frizzle Sizzle,Alles heeft ritme,Dutch,Rob ten BokumPeter Schön,Harry van Hoof
1986,Norway,NRK,Ketil Stokkan,Romeo,Norwegian,Ketil Stokkan,Egil Monn-Iversen
1986,Portugal,RTP,Dora,Não sejas mau p'ra mim,Portuguese,Guilherme Inês Luís OliveiraZé da Ponte,Colin Frechter
1986,Spain,TVE,Cadillac,Valentino,Spanish,José María Guzmán,Eduardo Leiva
1986,Sweden,SVT,Lasse Holm and Monica Törnell,E' de' det här du kallar kärlek,Swedish,Lasse Holm,Anders Berglund
1986,Switzerland,SRG SSR,Daniela Simons,Pas pour moi,French,Nella MartinettiAtilla Şereftuğ,Atilla Şereftuğ
1986,Turkey,TRT,Klips ve Onlar,Halley,Turkish,İlhan İremMelih Kibar,Melih Kibar
1986,United Kingdom,BBC,Ryder,Runner in the Night,English,Maureen DarbyshireBrian Wade,No conductor
1986,Yugoslavia,JRT,Doris Dragović,"Željo moja"" (Жељо моја)",Serbo-Croatian,Zrinko Tutić,Nikica Kalogjera
1987,Austria,ORF,Gary Lux,Nur noch Gefühl,German,Stefanie Werger Kenneth Westmore,Richard Oesterreicher
1987,Belgium,BRT,Liliane Saint-Pierre,Soldiers of Love,Dutch,Marc De CoenLiliane KeuninckxGyuri Spies,Freddy Sunder
1987,Cyprus,CyBC,Alexia,"Aspro mavro"" (Άσπρο μαύρο)",Greek,Andreas PapapavlouMaria Papapavlou,Jo Carlier
1987,Denmark,DR,Bandjo with Anne-Cathrine Herdorf,En lille melodi,Danish,Helge Engelbrecht Jacob Jonia,Henrik Krogsgaard
1987,Finland,YLE,Vicky Rosti,Sata salamaa,Finnish,Petri Laaksonen Veli-Pekka Lehto,Ossi Runne
1987,France,Antenne 2,Christine Minier,Les mots d'amour n'ont pas de dimanche,French,Gérard CurciMarc Minier,Jean-Claude Petit
1987,Germany,BR,Wind,Laß die Sonne in dein Herz,German,Bernd MeinungerRalph Siegel,Laszlo Bencker
1987,Greece,ERT,Bang,"Stop"" (Στοπ)",Greek,Vassilis DertilisThanos Kalliris,Giorgos Niarchos
1987,Iceland,RÚV,Halla Margrét,Hægt og hljótt,Icelandic,Valgeir Guðjónsson,Hjálmar H. Ragnarsson
1987,Ireland,RTÉ,Johnny Logan,Hold Me Now,English,Seán Sherrard,Noel Kelehan
1987,Israel,IBA,Datner and Kushnir,"Shir Habatlanim"" (שיר הבטלנים)",Hebrew,Zohar Laskov,Kobi Oshrat
1987,Italy,RAI,Umberto Tozzi and Raf,Gente di mare,Italian,Giancarlo BigazziRaf RiefoliUmberto Tozzi,Gianfranco Lombardi
1987,Luxembourg,CLT,Plastic Bertrand,Amour amour,French,Roger JouretAlec Mansion,Alec Mansion
1987,Netherlands,NOS,Marcha,Rechtop in de wind,Dutch,Peter Koelewijn,Rogier van Otterloo
1987,Norway,NRK,Kate Gulbrandsen,Mitt liv,Norwegian,Hanne KroghRolf Løvland,Terje Fjærn
1987,Portugal,RTP,Nevada,Neste barco à vela,Portuguese,Alfredo AzinheiraJorge Mendes,Jaime Oliveira
1987,Spain,TVE,Patricia Kraus,No estás solo,Spanish,Patricia KrausRafael MartínezRafael Trabucchelli,Eduardo Leiva
1987,Sweden,SVT,Lotta Engberg,Boogaloo,Swedish,Christer Lundh Mikael Wendt,Curt-Eric Holmquist
1987,Switzerland,SRG SSR,Carol Rich,Moitié moitié,French,Jean-Jacques Egli,No conductor
1987,Turkey,TRT,Seyyal Taner and Grup Lokomotif [nl; sv],Şarkım Sevgi Üstüne,Turkish,Olcayto Ahmet Tuğsuz,Garo Mafyan
1987,United Kingdom,BBC,Rikki [de; fr],Only the Light,English,Richard Peebles,Ronnie Hazlehurst
1987,Yugoslavia,JRT,Novi fosili,"Ja sam za ples"" (Ја сам за плес)",Serbo-Croatian,Stevo CvikićRajko Dujmić,Nikica Kalogjera
1988,Austria,ORF,Wilfried,Lisa Mona Lisa,German,Ronnie HerbholzheimerKlaus KoflerWilfried Scheutz,Harald Neuwirth
1988,Belgium,RTBF,Reynaert,Laissez briller le soleil,French,Philippe Anciaux Joseph ReynaertsDany Willem,Dany Willem
1988,Denmark,DR,Hot Eyes,Ka' du se hva' jeg sa',Danish,Søren BundgaardKeld Heick,Henrik Krogsgaard
1988,Finland,YLE,Boulevard,Nauravat silmät muistetaan,Finnish,Kirsti WillbergPepe Willberg,Ossi Runne
1988,France,Antenne 2,Gérard Lenorman,Chanteur de charme,French,Claude Lemesle Gérard Lenorman,Guy Mattéoni
1988,Germany,BR,Maxi & Chris Garden,Lied für einen Freund,German,Bernd MeinungerRalph Siegel,Michael Thatcher
1988,Greece,ERT,Afroditi Fryda,"Clown"" (Κλόουν)",Greek,Dimitris Sakislis,Haris Andreadis
1988,Iceland,RÚV,Beathoven,Sókrates,Icelandic,Sverrir Stormsker,No conductor
1988,Ireland,RTÉ,Jump the Gun,Take Him Home,English,Peter Eades,Noel Kelehan
1988,Israel,IBA,Yardena Arazi,"Ben Adam"" (בן אדם)",Hebrew,Boris DimitshteinEhud Manor,Eldad Shrem
1988,Italy,RAI,Luca Barbarossa,Ti scrivo,Italian,Luca Barbarossa,No conductor
1988,Luxembourg,CLT,Lara Fabian,Croire,French,Jacques Cardona Alain Garcia,Régis Dupré
1988,Netherlands,NOS,Gerard Joling,Shangri-La,Dutch,Peter de Wijn,Harry van Hoof
1988,Norway,NRK,Karoline Krüger,For vår jord,Norwegian,Erik HillestadAnita Skorgan,Arild Stav
1988,Portugal,RTP,Dora,Voltarei,Portuguese,José CalvárioJosé Niza,José Calvário
1988,Spain,TVE,La Década,La chica que yo quiero (Made in Spain),Spanish,Francisco DondiegoEnrique Piero,Javier de Juan
1988,Sweden,SVT,Tommy Körberg,Stad i ljus,Swedish,Py Bäckman,Anders Berglund
1988,Switzerland,SRG SSR,Céline Dion,Ne partez pas sans moi,French,Nella MartinettiAtilla Şereftuğ,Atilla Şereftuğ
1988,Turkey,TRT,MFÖ,Sufi (Hey Ya Hey),Turkish,Mazhar AlansonFuat GünerÖzkan Uğur,Turhan Yükseler
1988,United Kingdom,BBC,Scott Fitzgerald,Go,English,Julie Forsyth,Ronnie Hazlehurst
1988,Yugoslavia,JRT,Srebrna krila,"Mangup"" (Мангуп)",Serbo-Croatian,Stevo CvikićRajko Dujmić,Nikica Kalogjera
1989,Austria,ORF,Thomas Forstner,Nur ein Lied,German,Dieter BohlenJoachim Horn-Bernges,No conductor
1989,Belgium,BRT,Ingeborg,Door de wind,Dutch,Stef Bos,Freddy Sunder
1989,Cyprus,CyBC,Fanny Polymeri and Yiannis Savvidakis,"Apopse as vrethoume"" (Απόψε ας βρεθούμε)",Greek,Efi MeletiouMarios Meletiou,Haris Andreadis
1989,Denmark,DR,Birthe Kjær,Vi maler byen rød,Danish,Søren BundgaardKeld Heick,Henrik Krogsgaard
1989,Finland,YLE,Anneli Saaristo,La dolce vita,Finnish,Turkka Mali Matti Puurtinen,Ossi Runne
1989,France,Antenne 2,Nathalie Pâque,J'ai volé la vie,French,G.G. CandySylvain Lebel Guy Mattéoni,Guy Mattéoni
1989,Germany,BR,Nino de Angelo,Flieger,German,Dieter BohlenJoachim Horn-Bernges,No conductor
1989,Greece,ERT,Marianna,"To diko sou asteri"" (Το δικό σου αστέρι)",Greek,Marianna EfstratiouYiannis KyrisVilly Sanianou,Giorgos Niarchos
1989,Iceland,RÚV,Daníel,Það sem enginn sér,Icelandic,Valgeir Guðjónsson,No conductor
1989,Ireland,RTÉ,Kiev Connolly and the Missing Passengers,The Real Me,English,Kiev Connolly,Noel Kelehan
1989,Israel,IBA,Gili and Galit,"Derekh Hamelekh"" (דרך המלך)",Hebrew,Shaike Paikov,Shaike Paikov
1989,Italy,RAI,Anna Oxa and Fausto Leali,Avrei voluto,Italian,Franco BerlincioniFranco Ciani Franco Fasano,Mario Natale
1989,Luxembourg,CLT,Park Café,Monsieur,French,Yves LacomblezBernard LonchevalMaggie ParkeGast Waltzing,Benoît Kaufman
1989,Netherlands,NOS,Justine Pelmelay,Blijf zoals je bent,Dutch,Cees BergmanGeertjan HessingJan KisjesAart MolErwin van PrehmElmer Veerfoff,Harry van Hoof
1989,Norway,NRK,Britt Synnøve Johansen,Venners nærhet,Norwegian,Inge Enoksen Leiv Grøtte,Pete Knutsen
1989,Portugal,RTP,Da Vinci,Conquistador,Portuguese,Pedro LuísRicardo,Luís Duarte
1989,Spain,TVE,Nina,Nacida para amar,Spanish,Juan Carlos Calderón,Juan Carlos Calderón
1989,Sweden,SVT,Tommy Nilsson,En dag,Swedish,Alexander BardOla HåkanssonTim Norell,Anders Berglund
1989,Switzerland,SRG SSR,Furbaz,Viver senza tei,Romansh,Marie Louise Werth,Benoît Kaufman
1989,Turkey,TRT,Pan,Bana Bana,Turkish,Timur Selçuk,Timur Selçuk
1989,United Kingdom,BBC,Live Report,Why Do I Always Get It Wrong,English,John BeebyBrian Hodgson,Ronnie Hazlehurst
1989,Yugoslavia,JRT,Riva,Rock Me,Serbo-Croatian,Stevo CvikićRajko Dujmić,Nikica Kalogjera
1990,Austria,ORF,Simone,Keine Mauern mehr,German,Mario Bottazzi Nanna BerryWolfgang Berry,Richard Oesterreicher
1990,Belgium,RTBF,Philippe Lafontaine,Macédomienne,French,Philippe Lafontaine,Rony Brack
1990,Cyprus,CyBC,Anastasiou,"Milas poli"" (Μιλάς πολύ)",Greek,Haris Anastasiou John Vickers,Stanko Selak
1990,Denmark,DR,Lonnie Devantier,Hallo Hallo,Danish,John Hatting Keld HeickTorben Lendager,Henrik Krogsgaard
1990,Finland,YLE,Beat,Fri?,Swedish,Janne EngblomKim EngblomStina EngblomTina Krause,Olli Ahvenlahti
1990,France,Antenne 2,Joëlle Ursull,White and Black Blues,French,Georges Augier de Moussac Serge Gainsbourg,Régis Dupré
1990,Germany,BR,Chris Kempers and Daniel Kovac,Frei zu leben,German,Michael KunzeRalph Siegel,Rainer Pietsch
1990,Greece,ERT,Christos Callow,"Horis skopo"" (Χωρίς σκοπό)",Greek,Giorgos PalaiokastririsGiorgos Papagiannakis,Michalis Rozakis
1990,Iceland,RÚV,Stjórnin,Eitt lag enn,Icelandic,Aðalsteinn Ásberg Sigurðsson Hörður G. Ólafsson,Jon Kjell Seljeseth
1990,Ireland,RTÉ,Liam Reilly,Somewhere in Europe,English,Liam Reilly,Noel Kelehan
1990,Israel,IBA,Rita,"Shara Barkhovot"" (שרה ברחובות)",Hebrew,Rami KleinsteinTzruya Lahav,Rami Levin
1990,Italy,RAI,Toto Cutugno,Insieme: 1992,Italian,Toto Cutugno,Gianni Madonini
1990,Luxembourg,CLT,Céline Carzo,Quand je te rêve,French,Thierry DelianisJean-Charles France,Thierry Durbet
1990,Netherlands,NOS,Maywood,Ik wil alles met je delen,Dutch,Alice May,Harry van Hoof
1990,Norway,NRK,Ketil Stokkan,Brandenburger Tor,Norwegian,Ketil Stokkan,Pete Knutsen
1990,Portugal,RTP,Nucha,Há sempre alguém,Portuguese,Luís FilipeFrancisco Teotónio PereiraFrederico Teotónio PereiraJan van Dijck,Carlos Alberto Moniz
1990,Spain,TVE,Azúcar Moreno,Bandido,Spanish,José Luis AbelRaúl Orellana Jaime Stinus,Eduardo Leiva
1990,Sweden,SVT,Edin-Ådahl,Som en vind,Swedish,Mikael Wendt,Curt-Eric Holmquist
1990,Switzerland,SRG SSR,Egon Egemann,Musik klingt in die Welt hinaus,German,Cornelia Lackner,Bela Balint
1990,Turkey,TRT,Kayahan,Gözlerinin Hapsindeyim,Turkish,Kayahan Açar,Ümit Eroğlu
1990,United Kingdom,BBC,Emma,Give a Little Love Back to the World,English,Paul Curtis,Alyn Ainsworth
1990,Yugoslavia,JRT,Tajči,"Hajde da ludujemo"" (Хајде да лудујемо)",Serbo-Croatian,Alka VuicaZrinko Tutić,Stjepan Mihaljinec
1991,Austria,ORF,Thomas Forstner,Venedig im Regen,German,Wolfgang EltnerHubert MoserRobby Musenbichler,Richard Oesterreicher
1991,Belgium,BRTN,Clouseau,Geef het op,Dutch,Jan LeyersBob Savenberg Koen WautersKris Wauters,Roland Verlooven
1991,Cyprus,CyBC,Elena Patroklou,S.O.S.,Greek,Kypros CharalambousAndreas Christou,Alexander Kirov Zografov
1991,Denmark,DR,Anders Frandsen,Lige der hvor hjertet slår,Danish,Michael Elo,Henrik Krogsgaard
1991,Finland,YLE,Kaija,Hullu yö,Finnish,Ile KallioJukka Välimaa,Olli Ahvenlahti
